Preu;Zona;Superficie;Habitacions;Lavabos;Preu metre;Calefaccio;Aire acondicionat;Any construccio;Aparcament;Piscina;Ascensor;Planta;Consum;Venda/lloguer
131500;Les Arenes-La Gr�pia;79;3;1;1665;Si;No;1974;No;No;Si;_;E;Venda
129000;Sant Pere;79;3;1;1633;Si;Si;1965;No;No;No;_;G;Venda
150000;Sant Pere Nord;81;3;1;1852;Si;No;_;No;No;Si;_;G;Venda
95000;La Maurina;90;4;1;1056;No;No;1953;No;No;No;_;G;Venda
83000;Ca n�Anglada;80;3;1;1038;Si;No;1960;No;No;No;_;G;Venda
169900;Escoles;96;3;2;1770;Si;Si;_;No;No;No;_;G;Venda
87000;Centre;71;3;1;1225;Si;No;1969;No;No;No;_;E;Venda
195000;La Maurina;284;3;1;687;Si;No;1945;Si;No;No;_;G;Venda
99000;La Maurina;98;2;1;1010;Si;Si;1957;No;No;No;_;E;Venda
174500;Centre;60;2;1;2908;Si;Si;2008;No;No;Si;_;G;Venda
199900;Sant Pere Nord;313;4;2;639;No;No;2017;Si;No;No;_;_;Venda
199900;Sant Pere Nord;313;4;2;639;No;No;2017;Si;No;No;_;_;Venda
349000;Sant Pere;129;4;2;2705;Si;Si;1996;No;No;Si;_;G;Venda
227000;Pere parres;155;4;2;1465;Si;Si;1978;No;No;Si;3;G;Venda
134000;Pere parres;90;3;1;1489;Si;No;1976;No;No;No;_;F;Venda
181000;Torre-sana;70;2;1;2586;Si;Si;2003;Si;No;Si;2;E;Venda
85000;Sant Lloren�;81;3;1;1049;No;Si;1960;No;No;No;_;_;Venda
180000;Cementiri Vell;109;4;2;1651;Si;Si;_;Si;No;Si;_;E;Venda
239900;Ca n�Aurell;127;4;2;1889;Si;Si;1977;No;No;Si;_;G;Venda
210000;Ca nﾴAurell;_;_;_;_;No;No;1949;No;No;No;_;G;Venda
130000;Sant Pere Nord;107;3;1;1215;No;No;1970;No;No;Si;_;G;Venda
125000;Vallparad�s;90;3;1;1389;No;No;_;No;No;Si;_;G;Venda
109000;Centre;39;1;1;2795;No;No;2007;No;No;Si;_;D;Venda
224900;Cementiri Vell;60;2;1;3748;Si;Si;2009;No;No;Si;_;G;Venda
165000;Centre;39;1;1;4231;Si;Si;2010;No;No;Si;_;D;Venda
444000;Centre;266;3;3;1669;Si;Si;_;Si;No;No;_;E;Venda
166000;La Maurina;62;2;1;2677;Si;No;2003;No;No;Si;_;D;Venda
194000;Can Roca;93;3;2;2086;Si;Si;2006;Si;No;Si;_;D;Venda
140000;Can Palet;48;2;1;2917;Si;No;2017;No;No;Si;_;D;Venda
140000;Ca n�Anglada;75;2;1;1867;Si;Si;2008;Si;No;Si;5;E;Venda
140000;Can Palet;47;2;1;2979;Si;No;2016;No;No;Si;_;D;Venda
112000;Centre;37;1;1;3027;Si;Si;2002;No;No;Si;_;F;Venda
239900;Sant Pere Nord;220;4;2;1090;Si;No;1991;No;No;No;2;G;Venda
335000;Sant Pere;121;3;2;2769;Si;No;2007;No;No;Si;3;F;Venda
225000;Poblenou-Zona Esportiva;121;3;1;1860;No;No;1961;No;No;No;_;E;Venda
175000;X�quer;98;3;1;1786;Si;No;1973;No;No;Si;_;E;Venda
169000;Les Arenes-La Gr�pia;89;4;2;1899;Si;No;1999;No;No;No;_;E;Venda
212000;Poblenou-Zona Esportiva;197;4;1;1076;No;No;1966;Si;No;No;_;G;Venda
290000;Centre;123;4;2;2358;Si;Si;2000;No;No;Si;1;G;Venda
247000;La Maurina;170;4;2;1453;Si;Si;1958;Si;No;No;_;E;Venda
337100;Sant Pere Nord;192;5;2;1756;Si;Si;1954;Si;No;No;_;E;Venda
260000;Sant Pere Nord;109;3;2;2385;Si;Si;2011;No;No;Si;3;E;Venda
225000;La Maurina;183;4;2;1230;Si;Si;1975;No;No;No;1;D;Venda
270000;Segle XX;133;4;2;2030;Si;Si;1983;No;No;No;1;E;Venda
429000;Can Parellada;246;4;3;1744;Si;No;1980;Si;No;No;2;G;Venda
137000;Sant Pere Nord;107;3;1;1280;No;No;1970;No;No;No;_;G;Venda
134000;Centre;49;1;1;2735;Si;Si;2006;No;No;Si;_;G;Venda
147000;Can Jofresa;110;4;2;1336;No;No;1975;No;No;Si;9;E;Venda
175000;Cementiri Vell;99;3;1;1768;Si;No;1975;No;No;Si;2;G;Venda
482000;La Cogullada;277;5;2;1740;Si;No;1960;Si;No;No;_;G;Venda
206000;Can Palet;134;3;2;1537;Si;No;2003;Si;No;Si;_;G;Venda
210000;Vallparad�s;105;4;2;2000;Si;Si;1984;No;No;Si;_;G;Venda
369000;Centre;171;4;3;2158;Si;Si;_;Si;No;Si;_;E;Venda
200900;Cementiri Vell;144;3;2;1395;Si;No;1994;Si;No;Si;_;F;Venda
80500;La Maurina;60;3;1;1342;No;No;1965;No;No;No;_;G;Venda
123600;Ca n�Anglada;59;1;1;2095;Si;Si;_;No;No;Si;_;A;Venda
117100;Ca n�Anglada;59;1;1;1985;Si;Si;_;No;No;Si;_;A;Venda
178845;Ca n�Anglada;84;2;2;2129;Si;Si;_;No;No;Si;_;A;Venda
229000;Ca n�Anglada;125;3;2;1832;Si;Si;_;No;No;Si;_;A;Venda
227000;Ca n�Anglada;122;3;2;1861;Si;Si;_;No;No;Si;_;A;Venda
165845;Ca n�Anglada;85;2;2;1951;Si;Si;_;No;No;Si;_;A;Venda
178845;Ca n�Anglada;85;2;2;2104;Si;Si;_;No;No;Si;_;A;Venda
125000;Ca n�Anglada;57;1;1;2193;Si;Si;_;No;No;Si;_;A;Venda
130100;Ca n�Anglada;59;1;1;2205;Si;Si;_;No;No;Si;_;A;Venda
172345;Ca n�Anglada;82;2;2;2102;Si;Si;_;No;No;Si;_;A;Venda
160000;Sant Pere;92;3;1;1739;Si;Si;1982;No;No;No;_;B;Venda
155000;Poblenou-Zona Esportiva;120;3;1;1292;Si;No;1980;No;No;No;2;G;Venda
152000;Can Palet;107;3;1;1421;No;No;1973;No;No;No;1;E;Venda
238000;Sant Pere Nord;117;3;2;2034;Si;Si;1985;No;No;No;_;D;Venda
147000;Can Boada;93;4;2;1581;Si;No;1979;No;No;Si;3;G;Venda
162000;Cementiri Vell;76;2;1;2132;Si;Si;1998;No;No;Si;_;G;Venda
149000;Les Arenes-La Gr�pia;60;2;1;2483;Si;Si;2006;Si;No;Si;1;E;Venda
298000;Sant Pere;156;4;2;1910;Si;Si;2002;Si;No;Si;3;G;Venda
93000;Ca nﾴAnglada;78;3;1;1192;No;No;1973;No;No;No;_;F;Venda
59000;Montserrat;54;3;1;1093;No;No;1962;No;No;No;_;G;Venda
210000;Poblenou-Zona Esportiva;116;4;2;1810;Si;No;2000;No;No;Si;_;E;Venda
178000;Poblenou-Zona Esportiva;77;2;1;2312;Si;No;1997;Si;No;Si;3;D;Venda
135900;Escoles;77;3;2;1765;Si;No;1974;No;No;Si;_;G;Venda
115000;Escoles;35;1;1;3286;Si;No;2004;No;No;Si;_;G;Venda
129000;Sant Pere Nord;67;3;1;1925;No;Si;1985;No;No;Si;_;_;Venda
140000;Escoles;58;2;1;2414;Si;Si;2008;Si;No;Si;_;E;Venda
164900;Sant Pere Nord;105;3;2;1570;No;No;2002;No;No;Si;_;G;Venda
265000;Vallparad�s;159;4;2;1667;Si;No;_;No;No;Si;_;G;Venda
296700;Can Roca;126;3;2;2355;Si;Si;2019;No;No;Si;2;G;Venda
493000;Sant Pere;279;3;2;1767;Si;No;2017;Si;Si;No;_;G;Venda
360000;Centre;143;4;2;2517;Si;Si;2000;No;No;No;_;E;Venda
235000;Vallparad�s;139;4;3;1691;Si;Si;2000;No;No;Si;_;E;Venda
105000;La Maurina;118;3;1;890;No;No;1962;No;No;No;_;G;Venda
85000;Ca nﾴAnglada;77;3;1;1104;No;No;1962;No;No;No;_;G;Venda
360000;Les Martines;249;5;2;1446;Si;No;2005;Si;Si;No;_;E;Venda
337100;Sant Pere Nord;192;5;2;1756;Si;Si;1954;Si;No;No;_;E;Venda
132000;Egara;49;2;1;2694;Si;No;2004;No;No;Si;1;G;Venda
137000;Sant Pere Nord;96;4;1;1427;Si;Si;1958;No;No;No;4;F;Venda
106000;La Maurina;72;3;1;1472;Si;No;1979;No;No;No;4;E;Venda
193000;La Cogullada;70;2;1;2757;Si;Si;_;No;No;Si;_;F;Venda
587500;Can Palet de Vista Alegre;500;4;5;1175;Si;Si;_;Si;No;No;_;E;Venda
348000;Sant Pere Nord;237;3;3;1468;Si;Si;_;Si;No;No;_;D;Venda
294000;Can Roca;115;3;2;2557;Si;No;1999;Si;No;Si;_;E;Venda
259000;Can Roca;94;3;2;2755;Si;Si;_;Si;No;Si;_;E;Venda
193000;La Cogullada;70;2;1;2757;Si;Si;_;No;No;Si;_;F;Venda
587500;Can Palet de Vista Alegre;500;4;5;1175;Si;Si;_;Si;No;No;_;E;Venda
348000;Sant Pere Nord;237;3;3;1468;Si;Si;_;Si;No;No;_;D;Venda
294000;Can Roca;115;3;2;2557;Si;No;1999;Si;No;Si;_;E;Venda
259000;Can Roca;94;3;2;2755;Si;Si;_;Si;No;Si;_;E;Venda
185000;Ca n�Aurell;115;3;1;1609;Si;Si;_;No;No;No;_;G;Venda
294000;Can Roca;115;3;2;2557;Si;Si;1999;No;No;Si;_;E;Venda
313000;Can Roca;115;3;2;2722;Si;Si;1999;Si;No;Si;_;E;Venda
313000;Can Roca;115;3;2;2722;Si;Si;1999;Si;No;Si;_;E;Venda
294000;Can Roca;115;3;2;2557;Si;Si;1999;Si;No;Si;_;G;Venda
136000;Sant Pere Nord;56;2;1;2429;Si;No;2009;Si;No;Si;_;D;Venda
99000;Cementiri Vell;81;3;1;1222;No;No;1962;No;No;No;_;G;Venda
120000;Sant Pere Nord;94;3;1;1277;No;No;1960;No;No;No;1;E;Venda
87000;Ca n�Anglada;71;3;1;1225;Si;Si;1969;No;No;No;3;G;Venda
119990;Ca nﾴAnglada;76;2;1;1579;No;No;_;No;No;No;_;E;Venda
384400;Poblenou-Zona Esportiva;182;3;2;2112;Si;Si;_;Si;No;No;_;D;Venda
168000;Sant Pere;105;3;3;1600;Si;Si;1978;No;No;Si;_;E;Venda
140000;Can Palet;86;3;1;1628;Si;Si;1975;No;No;Si;1;E;Venda
150000;Escoles;89;3;1;1685;Si;No;_;No;No;Si;_;G;Venda
89000;Ca n�Anglada;71;3;1;1254;Si;No;1969;No;No;No;_;G;Venda
89000;Ca n�Anglada;71;3;1;1254;Si;No;1969;No;No;No;_;G;Venda
249000;Torre-sana;220;5;2;1132;Si;No;1973;Si;No;No;_;G;Venda
460000;Poblenou-Zona Esportiva;230;4;3;2000;Si;Si;1956;Si;No;No;_;D;Venda
136000;Cementiri Vell;94;3;1;1447;Si;Si;_;No;No;Si;_;E;Venda
379000;Les Martines;310;6;2;1223;Si;Si;1980;Si;Si;No;_;E;Venda
260000;Centre;123;3;2;2114;Si;Si;1995;No;No;Si;_;G;Venda
329900;Sant Pere;115;3;2;2869;Si;No;1983;No;No;Si;_;G;Venda
150000;Can Palet;90;3;1;1667;Si;No;1972;No;No;Si;4;G;Venda
587500;Can Palet de Vista Alegre;500;4;5;1175;Si;Si;_;Si;Si;No;_;E;Venda
229800;Sant Pere Nord;112;4;4;2052;Si;Si;1983;No;No;No;_;G;Venda
80000;Ca nﾴAnglada;67;3;1;1194;No;No;1969;No;No;No;_;G;Venda
159000;Ca n�Aurell;94;5;1;1691;Si;No;_;No;No;No;_;G;Venda
93000;Ca nﾴAurell;85;3;1;1094;No;No;1962;No;No;No;_;_;Venda
65700;Ca nﾴAnglada;64;3;1;1027;No;No;1968;No;No;No;_;G;Venda
124000;Escoles;84;3;1;1476;No;No;1972;No;No;Si;_;E;Venda
109000;X�quer;64;3;1;1703;Si;Si;1975;No;No;No;1;G;Venda
270000;Centre;136;6;2;1985;Si;No;_;No;No;No;_;G;Venda
364000;Poblenou-Zona Esportiva;206;5;2;1767;No;No;1999;No;No;No;_;E;Venda
670000;Poblenou-Zona Esportiva;636;3;2;1053;Si;Si;1998;Si;No;No;_;E;Venda
154000;La Cogullada;65;2;1;2369;Si;No;2008;No;No;Si;_;G;Venda
216000;Can Palet;118;2;2;1831;Si;Si;2005;No;No;Si;_;D;Venda
188000;La Maurina;120;3;1;1567;No;Si;_;No;No;No;_;E;Venda
337100;Sant Pere Nord;192;4;2;1756;Si;No;_;Si;No;No;_;E;Venda
242000;Les Arenes-La Gr�pia;95;3;2;2547;Si;No;2022;No;No;Si;_;B;Venda
245000;Les Arenes-La Gr�pia;100;4;2;2450;Si;No;2022;No;No;Si;_;B;Venda
267000;Les Arenes-La Gr�pia;101;3;2;2644;Si;Si;2021;No;No;Si;_;G;Venda
199000;Les Arenes-La Gr�pia;74;2;1;2689;Si;No;2022;No;No;Si;_;B;Venda
560000;Les Martines;345;7;4;1623;Si;No;1989;No;No;No;_;E;Venda
153000;Ca n�Aurell;111;4;1;1378;Si;Si;_;No;No;No;_;E;Venda
185000;Can Palet;153;2;1;1209;No;No;_;No;No;No;_;G;Venda
575000;Centre;225;4;3;2556;Si;No;2002;Si;No;No;_;G;Venda
136000;Sant Pere Nord;85;3;1;1600;Si;Si;1985;No;No;Si;_;_;Venda
279000;Centre;153;4;2;1824;Si;Si;1955;No;No;Si;_;F;Venda
250890;Torre-sana;195;4;2;1287;Si;Si;2005;Si;No;Si;_;E;Venda
690000;Sant Pere;350;5;2;1971;Si;Si;1940;Si;No;No;_;G;Venda
149000;Ca nﾴAnglada;_;_;_;_;No;No;2007;No;No;No;_;G;Venda
196000;Sant Pere;93;3;1;2108;No;Si;2021;No;No;No;_;E;Venda
165000;Can Jofresa;110;4;1;1500;Si;Si;1975;No;No;Si;_;E;Venda
142900;Les Arenes-La Gr�pia;62;2;1;2305;Si;No;2009;No;No;Si;1;G;Venda
340000;Les Arenes-La Gr�pia;177;5;2;1921;Si;Si;2003;No;No;Si;_;D;Venda
115000;Egara;75;3;1;1533;Si;Si;1966;No;No;No;_;G;Venda
182600;Sant Pere;156;3;2;1171;Si;Si;1989;No;No;Si;_;E;Venda
136000;Cementiri Vell;94;3;1;1447;No;No;1970;No;No;Si;_;E;Venda
246000;Torre-sana;140;3;2;1757;Si;Si;2005;Si;No;Si;_;E;Venda
229000;Roc Blanc;113;3;2;2027;Si;No;_;No;No;No;_;E;Venda
279000;Centre;112;4;2;2491;No;No;2000;No;No;Si;_;G;Venda
126000;Can Parellada;72;3;1;1750;Si;Si;1975;No;No;Si;_;G;Venda
250000;Can Boada;119;4;2;2101;Si;Si;1969;Si;No;No;_;G;Venda
587500;Can Palet de Vista Alegre;500;4;5;1175;No;No;1997;Si;Si;No;_;E;Venda
193000;La Cogullada;70;2;2;2757;Si;Si;_;No;No;Si;_;F;Venda
587500;Can Palet de Vista Alegre;500;4;5;1175;Si;No;1998;Si;Si;No;_;E;Venda
94500;Torre-sana;45;1;1;2100;Si;Si;2010;No;No;Si;_;E;Venda
93500;Ca n�Aurell;38;1;1;2461;Si;Si;2012;No;No;Si;_;E;Venda
790000;Can Gonteres;422;5;3;1872;Si;Si;2004;Si;Si;No;_;D;Venda
344000;Les Arenes-La Gr�pia;234;4;2;1470;Si;Si;1993;Si;No;No;_;E;Venda
229000;Roc Blanc;113;3;2;2027;Si;Si;_;No;No;Si;_;E;Venda
165000;Ca n�Aurell;49;2;1;3367;Si;Si;2021;No;No;Si;_;G;Venda
110000;Sant Lloren�;92;4;1;1196;No;No;1960;No;No;No;_;G;Venda
259000;Les Fonts;85;4;2;3047;Si;Si;1958;No;No;No;_;G;Venda
186000;Poblenou-Zona Esportiva;109;2;1;1706;No;No;2001;No;No;No;_;_;Venda
203000;Cementiri Vell;134;3;2;1515;Si;No;2003;Si;No;Si;_;G;Venda
203000;Torre-sana;83;3;1;2446;Si;No;2002;Si;No;Si;_;F;Venda
380000;Centre;140;4;3;2714;Si;Si;_;No;No;Si;_;G;Venda
131000;La Maurina;102;2;2;1284;Si;Si;1930;No;No;No;_;E;Venda
110000;Sant Lloren�;92;4;1;1196;No;No;1960;No;No;No;_;G;Venda
125500;Can Parellada;71;3;1;1768;No;No;1973;No;No;Si;_;E;Venda
194000;Can Roca;93;3;3;2086;Si;No;2006;Si;No;Si;_;D;Venda
465000;Ca n�Aurell;170;4;3;2735;Si;No;2021;Si;No;No;_;G;Venda
235000;Centre;_;_;_;_;No;No;_;Si;No;Si;_;G;Venda
135900;Escoles;75;3;2;1812;Si;Si;1974;No;No;Si;_;F;Venda
195000;Les Arenes-La Gr�pia;124;3;2;1573;Si;Si;2004;Si;No;Si;_;G;Venda
193000;La Cogullada;70;2;2;2757;No;No;2007;No;No;Si;_;F;Venda
265000;Escoles;159;4;2;1667;Si;No;1988;No;No;Si;_;E;Venda
330000;Les Arenes-La Gr�pia;263;6;3;1255;Si;No;1995;Si;No;No;_;G;Venda
235000;Sant Pere;85;3;2;2765;Si;Si;_;No;No;Si;_;G;Venda
384400;Poblenou-Zona Esportiva;182;3;2;2112;Si;No;1992;Si;No;No;_;G;Venda
279000;Centre;112;4;2;2491;Si;No;2000;No;No;Si;_;G;Venda
86000;Sant Pere Nord;37;1;1;2324;Si;No;2008;No;No;Si;_;E;Venda
229000;La Maurina;113;3;2;2027;Si;No;1956;No;No;Si;_;E;Venda
214000;Sant Pere Nord;138;3;2;1551;Si;Si;1966;No;No;No;_;G;Venda
587500;Can Palet de Vista Alegre;500;4;5;1175;Si;No;_;No;Si;No;_;E;Venda
158000;Can Palet;86;3;1;1837;Si;Si;2001;Si;No;Si;_;E;Venda
250000;Vallparad�s;139;4;2;1799;Si;Si;2000;No;No;Si;_;G;Venda
83000;Egara;57;2;1;1456;Si;No;1965;No;No;No;_;E;Venda
180890;La Cogullada;110;3;2;1644;Si;Si;1980;Si;No;Si;_;E;Venda
159990;Can Boada;93;4;1;1720;Si;Si;1979;No;No;Si;_;E;Venda
176000;Torre-sana;75;1;1;2347;No;No;_;No;No;Si;_;E;Venda
155000;Cementiri Vell;85;3;1;1824;No;No;1970;No;No;Si;_;E;Venda
104900;Ca n�Anglada;77;3;1;1362;No;Si;_;No;No;No;_;F;Venda
254900;Les Arenes-La Gr�pia;82;3;2;3109;Si;Si;_;No;No;Si;_;E;Venda
149000;La Cogullada;110;4;2;1355;Si;No;1980;No;No;Si;_;E;Venda
158000;Can Palet;86;3;1;1837;Si;No;2001;Si;No;Si;_;E;Venda
175500;Segle XX;85;3;1;2065;No;No;2011;No;No;Si;_;G;Venda
374900;Centre;123;4;2;3048;Si;Si;_;No;No;Si;_;E;Venda
229800;Sant Pere Nord;260;4;3;884;Si;Si;1983;No;No;No;_;G;Venda
140000;Les Arenes-La Gr�pia;71;3;1;1972;Si;No;1977;No;No;No;_;G;Venda
199000;Ca n�Aurell;100;3;2;1990;No;Si;1995;No;No;Si;_;E;Venda
145000;Ca n�Anglada;76;3;2;1908;Si;No;_;No;No;Si;_;E;Venda
229000;Roc Blanc;113;3;2;2027;Si;No;1956;No;No;No;_;E;Venda
158000;Can Boada;67;2;1;2358;Si;No;1992;No;No;Si;_;D;Venda
294000;Can Roca;115;3;2;2557;No;No;1999;No;No;Si;_;E;Venda
587500;Can Palet de Vista Alegre;500;4;5;1175;No;No;_;No;Si;No;_;E;Venda
587500;Can Palet de Vista Alegre;400;4;5;1469;Si;Si;_;No;No;No;_;E;Venda
127500;La Maurina;112;3;2;1138;Si;No;1977;No;No;No;_;_;Venda
229000;Roc Blanc;113;3;2;2027;Si;No;1956;No;No;No;_;E;Venda
195000;Les Fonts;94;5;3;2074;Si;No;1958;No;No;No;_;G;Venda
2650000;Can Gonteres;186;3;3;14247;No;Si;_;No;No;Si;_;_;Venda
125000;Can Parellada;76;3;1;1645;Si;No;1981;No;No;Si;_;E;Venda
143000;Centre;68;3;1;2103;Si;No;_;No;No;No;_;F;Venda
99900;Can Palet;85;3;1;1175;No;No;_;No;No;No;1;G;Venda
165000;Ca n�Aurell;49;2;1;3367;Si;Si;2021;No;No;Si;_;A;Venda
155900;Escoles;107;4;1;1457;Si;No;1970;No;No;Si;_;G;Venda
229000;Roc Blanc;113;3;2;2027;No;No;1956;No;No;No;_;E;Venda
239000;Ca n�Anglada;159;3;2;1503;Si;No;1964;No;No;No;_;_;Venda
144990;Poblenou-Zona Esportiva;106;3;2;1368;Si;No;1966;No;No;No;_;E;Venda
209000;Can Palet;134;3;2;1560;Si;Si;_;Si;No;No;_;E;Venda
320000;Les Arenes-La Gr�pia;192;4;3;1667;Si;Si;_;No;No;Si;_;G;Venda
180000;Torre-sana;75;3;2;2400;No;Si;2001;No;No;Si;_;E;Venda
348000;Sant Pere Nord;237;3;3;1468;Si;No;2006;Si;No;No;_;D;Venda
180890;La Cogullada;110;3;2;1644;Si;Si;1980;Si;No;Si;_;E;Venda
176000;Torre-sana;90;2;1;1956;Si;No;2008;No;No;Si;_;G;Venda
185000;Torre-sana;96;3;2;1927;Si;No;2005;No;No;Si;_;G;Venda
460000;Poblenou-Zona Esportiva;230;4;3;2000;No;Si;1956;Si;No;No;_;D;Venda
369000;Centre;171;4;3;2158;Si;Si;2004;Si;No;Si;_;E;Venda
149000;La Cogullada;110;4;2;1355;Si;No;_;No;No;Si;_;E;Venda
199000;Ca n�Aurell;92;4;1;2163;Si;No;_;No;No;Si;_;F;Venda
300000;Ca n�Aurell;134;3;2;2239;Si;Si;1993;Si;No;No;_;F;Venda
97000;Sant Pere;57;2;1;1702;Si;Si;1950;No;No;No;_;G;Venda
103000;Can Palet;78;3;1;1321;Si;No;1968;No;No;Si;_;_;Venda
214000;Sant Pere;89;2;2;2404;Si;Si;2006;No;No;Si;_;_;Venda
170000;Ca n�Anglada;77;3;2;2208;Si;Si;_;No;No;Si;_;G;Venda
460000;Centre;132;3;3;3485;Si;No;2022;Si;No;No;_;G;Venda
168000;Roc Blanc;209;1;1;804;No;No;1962;No;No;No;_;E;Venda
187000;Vallparad�s;105;4;2;1781;No;No;1980;No;No;Si;2;E;Venda
198500;Ca n�Aurell;80;3;1;2481;Si;No;1935;No;No;No;_;G;Venda
135000;Can Boada;75;3;1;1800;Si;No;1971;No;No;Si;_;G;Venda
125500;Can Parellada;71;3;1;1768;No;No;1973;No;No;No;_;E;Venda
194000;Sant Pere;91;4;1;2132;No;Si;1965;No;No;No;_;D;Venda
263000;Pere parres;89;3;2;2955;Si;Si;2022;No;No;Si;_;A;Venda
335000;Pere parres;113;3;2;2965;Si;Si;2022;No;No;Si;_;B;Venda
263000;Pere parres;89;3;2;2955;Si;Si;2022;No;No;Si;_;A;Venda
263000;Pere parres;89;3;2;2955;Si;Si;2022;No;No;Si;_;A;Venda
229000;Pere parres;69;2;2;3319;Si;Si;2022;No;No;Si;_;A;Venda
188000;La Maurina;120;3;1;1567;No;Si;1958;No;No;No;_;G;Venda
150000;Pere parres;80;2;1;1875;Si;No;1963;No;No;No;_;G;Venda
161000;Ca n�Aurell;91;3;1;1769;Si;Si;1975;No;No;No;_;G;Venda
309000;Sant Pere Nord;291;6;3;1062;Si;No;2000;No;No;No;_;E;Venda
90000;La Maurina;70;3;1;1286;No;No;1962;No;No;No;_;G;Venda
270000;Centre;122;4;2;2213;Si;Si;1988;No;No;Si;1;G;Venda
211000;Poblenou-Zona Esportiva;110;3;2;1918;Si;No;1990;No;No;Si;_;G;Venda
165000;Can Palet;60;2;2;2750;Si;No;2004;Si;No;Si;_;G;Venda
299000;Vallparad�s;133;3;2;2248;No;No;1991;No;No;No;_;G;Venda
119000;Ca n�Aurell;78;3;1;1526;Si;No;1968;No;No;No;_;G;Venda
225000;Vallparad�s;78;3;1;2885;No;Si;1968;No;No;No;_;E;Venda
103000;Ca n�Anglada;77;3;2;1338;Si;No;1974;No;No;No;_;G;Venda
136000;Can Boada;86;3;1;1581;No;No;1960;No;No;Si;_;G;Venda
369000;Centre;147;4;3;2510;Si;No;_;Si;No;Si;_;E;Venda
159900;Sant Pere;87;4;1;1838;No;Si;_;No;No;Si;_;E;Venda
436000;Poblenou-Zona Esportiva;150;4;3;2907;Si;Si;2022;Si;No;No;_;G;Venda
180890;La Cogullada;110;3;2;1644;Si;Si;1980;Si;No;No;_;E;Venda
295000;Centre;130;3;1;2269;Si;No;1971;Si;No;Si;4;G;Venda
460000;Poblenou-Zona Esportiva;230;4;3;2000;Si;No;1956;Si;No;No;_;D;Venda
395000;Can Parellada;140;3;2;2821;Si;Si;_;Si;No;No;_;G;Venda
185000;Can Palet;153;2;1;1209;No;No;_;No;No;No;_;_;Venda
263000;Segle XX;133;4;2;1977;No;No;1983;No;No;No;_;E;Venda
450000;Ca n�Aurell;160;3;3;2813;Si;Si;2021;No;No;No;_;A;Venda
158000;Les Arenes-La Gr�pia;82;2;1;1927;Si;Si;1995;No;No;Si;_;G;Venda
219000;Egara;78;3;1;2808;Si;No;1996;No;No;Si;_;G;Venda
149000;Les Arenes-La Gr�pia;60;2;1;2483;Si;Si;2006;No;No;Si;_;G;Venda
534000;Vallparad�s;160;5;2;3338;No;No;_;No;No;No;_;C;Venda
249000;Poblenou-Zona Esportiva;92;3;2;2707;Si;Si;2000;Si;No;Si;_;G;Venda
289000;Ca n�Aurell;136;3;2;2125;Si;Si;1930;No;No;No;_;G;Venda
145000;Ca n�Aurell;50;1;1;2900;Si;Si;2005;No;No;Si;_;E;Venda
470000;Sant Pere;143;3;3;3287;Si;No;2022;Si;No;No;_;G;Venda
210000;Escoles;95;1;1;2211;Si;Si;2007;Si;No;Si;_;G;Venda
159000;Les Arenes-La Gr�pia;100;3;2;1590;Si;No;1975;No;No;No;_;E;Venda
525000;Sant Pere;207;3;3;2536;Si;No;2022;Si;No;No;_;G;Venda
209000;Roc Blanc;100;3;2;2090;Si;No;1998;Si;No;No;_;G;Venda
136000;Cementiri Vell;94;3;1;1447;Si;Si;1970;No;No;Si;_;E;Venda
125500;Can Parellada;72;3;1;1743;No;No;1975;No;No;Si;_;G;Venda
260000;Centre;105;3;2;2476;Si;No;_;No;No;Si;_;G;Venda
320000;Sant Pere Nord;190;3;3;1684;Si;Si;2022;Si;No;No;2;G;Venda
166500;Torre-sana;111;2;1;1500;Si;Si;1998;No;No;Si;_;_;Venda
181000;Torre-sana;70;2;1;2586;Si;Si;2003;No;No;No;_;G;Venda
245000;Centre;92;3;2;2663;Si;Si;2003;Si;No;Si;_;D;Venda
225000;La Maurina;183;4;2;1230;Si;Si;1975;No;No;No;_;D;Venda
112000;Centre;50;1;1;2240;Si;Si;_;No;No;Si;_;F;Venda
159000;Les Arenes-La Gr�pia;100;3;2;1590;No;No;1975;No;No;No;_;E;Venda
209000;Ca n�Aurell;86;4;1;2430;Si;No;1971;No;No;Si;_;G;Venda
142000;La Cogullada;63;2;1;2254;No;No;1993;No;No;Si;_;E;Venda
142000;La Cogullada;63;2;1;2254;No;No;1993;No;No;Si;_;E;Venda
379000;Les Martines;310;6;2;1223;No;No;1980;Si;No;No;_;E;Venda
139000;Segle XX;63;2;1;2206;Si;No;1993;No;No;Si;_;E;Venda
139000;La Cogullada;63;2;1;2206;Si;No;1993;No;No;Si;_;E;Venda
310000;Ca n�Aurell;100;3;2;3100;Si;Si;2021;Si;No;Si;_;A;Venda
379000;Les Martines;5.37;5;2;71;No;No;1980;Si;Si;No;_;E;Venda
235000;Les Arenes-La Gr�pia;90;3;2;2611;Si;Si;2004;Si;No;Si;_;E;Venda
199900;Ca n�Aurell;115;4;1;1738;Si;No;1964;No;No;Si;_;G;Venda
199000;Ca n�Aurell;100;3;2;1990;Si;Si;2000;No;No;Si;_;E;Venda
127000;Cementiri Vell;79;3;1;1608;Si;No;1960;No;No;No;_;F;Venda
260000;Ca n�Aurell;105;3;2;2476;Si;No;_;No;No;Si;_;G;Venda
379000;Poblenou-Zona Esportiva;280;4;3;1354;Si;No;1986;Si;No;No;_;G;Venda
